ID,Name,Quantity,Price
120,Product 120,12309,22.00
121,Product 121,49338,80.00
122,Product 122,66487,62.00
123,Product 123,26887,20.00
124,Product 124,80535,87.00
125,Product 125,9312,90.00
126,Product 126,23322,56.00
127,Product 127,56309,80.00
128,Product 128,66816,100.00
129,Product 129,85666,69.00
130,Product 130,37912,27.00
131,Product 131,11435,7.00
132,Product 132,91957,24.00
133,Product 133,5381,64.00
134,Product 134,38139,51.00
135,Product 135,19551,43.00
136,Product 136,6263,57.00
137,Product 137,13705,31.00
138,Product 138,15055,40.00
139,Product 139,49322,42.00
140,Product 140,772,1.00
141,Product 141,81918,47.00
142,Product 142,92076,76.00
143,Product 143,93387,35.00
144,Product 144,19215,81.00
145,Product 145,40293,15.00
146,Product 146,63554,78.00
147,Product 147,70862,81.00
148,Product 148,8245,51.00
149,Product 149,10078,100.00
150,Product 150,10573,59.00
151,Product 151,96141,90.00
152,Product 152,19031,45.00
153,Product 153,4816,69.00
154,Product 154,67375,19.00
155,Product 155,64852,3.00
156,Product 156,99474,8.00
157,Product 157,82145,97.00
158,Product 158,30156,30.00
159,Product 159,74011,58.00
160,Product 160,99976,92.00
161,Product 161,90169,68.00
162,Product 162,78735,49.00
163,Product 163,26871,92.00
164,Product 164,33327,5.00
165,Product 165,94079,25.00
166,Product 166,21702,97.00
167,Product 167,3246,83.00
168,Product 168,57423,93.00
169,Product 169,85019,47.00
170,Product 170,5331,28.00
171,Product 171,95332,34.00
172,Product 172,64843,78.00
173,Product 173,31162,1.00
174,Product 174,23001,46.00
175,Product 175,20868,51.00
176,Product 176,31886,49.00
177,Product 177,93356,67.00
178,Product 178,24843,67.00
179,Product 179,26244,41.00
180,Product 180,51641,88.00
181,Product 181,7824,1.00
182,Product 182,63041,87.00
183,Product 183,23297,100.00
184,Product 184,83733,93.00
185,Product 185,87509,73.00
186,Product 186,80936,44.00
187,Product 187,93347,58.00
188,Product 188,77649,95.00
189,Product 189,78829,62.00
190,Product 190,45738,47.00
191,Product 191,22193,62.00
192,Product 192,38052,43.00
193,Product 193,71464,22.00
194,Product 194,89123,34.00
195,Product 195,44178,8.00
196,Product 196,48367,41.00
197,Product 197,2579,57.00
198,Product 198,35447,94.00
199,Product 199,7284,25.00
200,Product 200,19199,45.00
201,Product 201,72444,37.00
202,Product 202,66083,20.00
203,Product 203,46319,35.00
204,Product 204,81201,46.00
205,Product 205,4212,28.00
206,Product 206,3634,21.00
207,Product 207,73851,33.00
208,Product 208,90916,64.00
209,Product 209,92332,3.00
210,Product 210,73739,36.00
211,Product 211,26423,49.00
212,Product 212,66292,87.00
213,Product 213,86048,56.00
214,Product 214,73433,99.00
215,Product 215,22298,85.00
216,Product 216,17589,17.00
217,Product 217,82399,81.00
218,Product 218,75677,93.00
219,Product 219,21112,31.00
220,Product 220,1762,71.00
221,Product 221,88649,55.00
222,Product 222,9938,34.00
223,Product 223,12529,39.00
224,Product 224,59672,68.00
225,Product 225,34885,8.00
226,Product 226,9083,77.00
227,Product 227,79921,88.00
228,Product 228,10031,87.00
229,Product 229,69306,45.00
230,Product 230,2543,70.00
231,Product 231,67603,45.00
232,Product 232,57957,32.00
233,Product 233,2358,41.00
234,Product 234,43375,19.00
235,Product 235,455,28.00
236,Product 236,70596,76.00
237,Product 237,56806,4.00
238,Product 238,52392,17.00
239,Product 239,4022,81.00
240,Product 240,82569,65.00
241,Product 241,2106,37.00
242,Product 242,37787,88.00
243,Product 243,27831,23.00
244,Product 244,44619,37.00
245,Product 245,74187,17.00
246,Product 246,97366,72.00
247,Product 247,61053,8.00
248,Product 248,5012,58.00
249,Product 249,52838,100.00
250,Product 250,30111,55.00
251,Product 251,9765,23.00
252,Product 252,26414,17.00
253,Product 253,74596,91.00
254,Product 254,26313,69.00
255,Product 255,64434,36.00
256,Product 256,43851,81.00
257,Product 257,59134,73.00
258,Product 258,60941,76.00
259,Product 259,92042,76.00
260,Product 260,51632,91.00
261,Product 261,68587,39.00
262,Product 262,79786,37.00
263,Product 263,69721,12.00
264,Product 264,32505,35.00
265,Product 265,23267,4.00
266,Product 266,97118,94.00
267,Product 267,64609,74.00
268,Product 268,22242,22.00
269,Product 269,98035,62.00
270,Product 270,50514,86.00
271,Product 271,53057,34.00
272,Product 272,41679,95.00
273,Product 273,99299,92.00
274,Product 274,94687,54.00
275,Product 275,54082,4.00
276,Product 276,9135,11.00
277,Product 277,58032,10.00
278,Product 278,58885,6.00
279,Product 279,95948,58.00
280,Product 280,1702,46.00
281,Product 281,37638,52.00
282,Product 282,52371,34.00
283,Product 283,65158,4.00
284,Product 284,68115,62.00
285,Product 285,10112,3.00
286,Product 286,15444,56.00
287,Product 287,51727,78.00
288,Product 288,42197,80.00
289,Product 289,72698,51.00
290,Product 290,46319,10.00
291,Product 291,6243,78.00
292,Product 292,2616,55.00
293,Product 293,126,24.00
294,Product 294,20617,17.00
295,Product 295,7635,39.00
296,Product 296,21334,57.00
297,Product 297,44975,87.00
298,Product 298,9963,85.00
299,Product 299,15683,52.00
300,Product 300,99797,66.00
301,Product 301,5837,31.00
302,Product 302,55659,11.00
303,Product 303,75374,58.00
304,Product 304,40674,16.00
305,Product 305,5993,55.00
306,Product 306,91859,51.00
307,Product 307,20209,79.00
308,Product 308,45592,50.00
309,Product 309,19376,55.00
310,Product 310,51254,50.00
311,Product 311,16052,75.00
312,Product 312,59088,39.00
313,Product 313,48542,43.00
314,Product 314,80122,59.00
315,Product 315,34273,27.00
316,Product 316,7574,80.00
317,Product 317,55152,39.00
318,Product 318,9410,61.00
319,Product 319,45752,87.00
320,Product 320,22914,95.00
321,Product 321,832,90.00
322,Product 322,33807,61.00
323,Product 323,2247,68.00
324,Product 324,98037,52.00
325,Product 325,88954,34.00
326,Product 326,87045,41.00
327,Product 327,30777,8.00
328,Product 328,6716,92.00
329,Product 329,16915,20.00
330,Product 330,22192,56.00
331,Product 331,55356,12.00
332,Product 332,10878,32.00
333,Product 333,23414,40.00
334,Product 334,58355,41.00
335,Product 335,820,49.00
336,Product 336,28493,62.00
337,Product 337,39791,61.00
338,Product 338,33867,58.00
339,Product 339,45531,6.00
340,Product 340,33796,20.00
341,Product 341,77062,68.00
342,Product 342,34266,80.00
343,Product 343,80677,4.00
344,Product 344,3886,17.00
345,Product 345,86352,45.00
346,Product 346,66453,66.00
347,Product 347,70785,79.00
348,Product 348,70363,76.00
349,Product 349,36519,21.00
350,Product 350,56632,68.00
351,Product 351,56012,26.00
352,Product 352,95726,29.00
353,Product 353,34572,48.00
354,Product 354,14041,4.00
355,Product 355,2656,21.00
356,Product 356,54276,77.00
357,Product 357,32152,8.00
358,Product 358,72597,70.00
359,Product 359,80289,100.00
360,Product 360,66974,5.00
361,Product 361,18671,1.00
362,Product 362,17531,22.00
363,Product 363,47234,91.00
364,Product 364,26304,69.00
365,Product 365,23064,1.00
366,Product 366,87983,52.00
367,Product 367,73906,74.00
368,Product 368,58046,24.00
369,Product 369,4879,43.00
370,Product 370,49146,75.00
371,Product 371,50382,20.00
372,Product 372,91268,6.00
373,Product 373,39444,1.00
374,Product 374,20243,38.00
375,Product 375,91369,26.00
376,Product 376,40762,62.00
377,Product 377,6484,8.00
378,Product 378,99539,66.00
379,Product 379,11427,31.00
380,Product 380,90124,84.00
381,Product 381,98498,82.00
382,Product 382,38237,66.00
383,Product 383,19673,28.00
384,Product 384,50641,87.00
385,Product 385,95624,20.00
386,Product 386,58008,33.00
387,Product 387,47484,88.00
388,Product 388,56181,40.00
389,Product 389,41163,67.00
390,Product 390,62432,5.00
391,Product 391,35561,62.00
392,Product 392,13954,57.00
393,Product 393,63568,64.00
394,Product 394,31538,97.00
395,Product 395,98549,74.00
396,Product 396,91994,27.00
397,Product 397,95507,33.00
398,Product 398,9933,73.00
399,Product 399,56769,90.00
400,Product 400,23237,49.00
401,Product 401,63912,72.00
402,Product 402,20758,78.00
403,Product 403,10983,20.00
404,Product 404,6665,81.00
405,Product 405,9289,61.00
406,Product 406,96508,44.00
407,Product 407,55563,31.00
408,Product 408,56001,58.00
409,Product 409,2234,73.00
410,Product 410,99971,23.00
411,Product 411,36635,51.00
412,Product 412,43611,79.00
413,Product 413,57879,78.00
414,Product 414,28203,36.00
415,Product 415,1063,5.00
416,Product 416,1407,1.00
417,Product 417,5901,72.00
418,Product 418,68538,25.00
419,Product 419,44118,97.00
420,Product 420,2448,55.00
421,Product 421,37521,29.00
422,Product 422,69564,64.00
423,Product 423,2972,50.00
424,Product 424,67247,76.00
425,Product 425,46942,76.00
426,Product 426,90999,82.00
427,Product 427,75338,25.00
428,Product 428,26852,73.00
429,Product 429,42956,94.00
430,Product 430,66452,94.00
431,Product 431,21399,72.00
432,Product 432,18918,8.00
433,Product 433,89905,88.00
434,Product 434,21638,3.00
435,Product 435,10548,99.00
436,Product 436,6846,13.00
437,Product 437,87451,13.00
438,Product 438,35935,49.00
439,Product 439,47027,23.00
440,Product 440,87222,12.00
441,Product 441,30107,96.00
442,Product 442,17849,33.00
443,Product 443,76086,44.00
444,Product 444,4669,93.00
445,Product 445,23609,6.00
446,Product 446,68536,94.00
447,Product 447,7916,1.00
448,Product 448,99299,100.00
449,Product 449,7242,3.00
450,Product 450,98713,61.00
451,Product 451,81785,32.00
452,Product 452,72427,81.00
453,Product 453,99983,69.00
454,Product 454,52021,72.00
455,Product 455,2923,83.00
456,Product 456,39747,95.00
457,Product 457,83152,64.00
458,Product 458,19703,23.00
459,Product 459,87101,36.00
460,Product 460,93998,19.00
461,Product 461,55305,60.00
462,Product 462,44475,57.00
463,Product 463,12122,56.00
464,Product 464,7845,23.00
465,Product 465,90796,32.00
466,Product 466,90594,91.00
467,Product 467,60331,32.00
468,Product 468,43234,70.00
469,Product 469,2884,65.00
470,Product 470,83803,91.00
471,Product 471,77191,40.00
472,Product 472,84812,4.00
473,Product 473,97618,15.00
474,Product 474,35595,39.00
475,Product 475,25517,47.00
476,Product 476,96587,66.00
477,Product 477,64544,1.00
478,Product 478,98077,97.00
479,Product 479,20923,95.00
480,Product 480,33505,36.00
481,Product 481,703,65.00
482,Product 482,35128,73.00
483,Product 483,33438,16.00
484,Product 484,82085,65.00
485,Product 485,6366,50.00
486,Product 486,65399,14.00
487,Product 487,97399,44.00
488,Product 488,2957,93.00
489,Product 489,82385,58.00
490,Product 490,39191,83.00
491,Product 491,19454,54.00
492,Product 492,70582,93.00
493,Product 493,96018,49.00
494,Product 494,85059,35.00
495,Product 495,64376,47.00
496,Product 496,7774,5.00
497,Product 497,68246,83.00
498,Product 498,37492,42.00
499,Product 499,12524,1.00
500,Product 500,39241,10.00
600,Paracetamol,9700,1.00
